Date,Open,High,Low,Close,Adj Close,Volume
2019-05-20,15933.299805,16009.650391,15461.849609,15569.849609,15569.849609,0
2019-05-27,15587.400391,16197.349609,15526.400391,16160.650391,16160.650391,0
2019-06-03,16159.500000,16391.000000,15972.750000,16109.849609,16109.849609,0
2019-06-10,16176.849609,16488.650391,16152.200195,16268.200195,16268.200195,0
2019-06-17,16285.000000,16391.500000,15994.950195,16189.400391,16189.400391,0
2019-06-24,16202.400391,16255.200195,15904.799805,15936.450195,15936.450195,0
2019-07-01,15982.700195,16096.950195,15520.000000,15550.049805,15550.049805,0
2019-07-08,15410.849609,15478.049805,15052.700195,15227.400391,15227.400391,0
2019-07-15,15516.250000,15707.950195,15364.500000,15383.650391,15383.650391,0
2019-07-22,15387.450195,15645.049805,15266.049805,15348.049805,15348.049805,0
2019-07-29,15365.099609,15648.750000,15209.299805,15422.099609,15422.099609,0
2019-08-05,15349.700195,15945.099609,15312.549805,15821.349609,15821.349609,0
2019-08-12,15821.349609,15822.400391,15238.549805,15365.349609,15365.349609,0
2019-08-19,15420.049805,15872.849609,15396.000000,15816.599609,15816.599609,0
2019-08-26,15825.250000,16039.250000,15628.099609,16010.400391,16010.400391,0
2019-09-02,16027.099609,16218.799805,15935.900391,16034.549805,16034.549805,0
2019-09-09,16023.950195,16030.450195,15525.150391,15722.900391,15722.900391,0
2019-09-16,15774.450195,15854.150391,15434.150391,15491.099609,15491.099609,0
2019-09-23,15611.799805,15611.799805,14735.549805,15236.400391,15236.400391,0
2019-09-30,15277.150391,15568.450195,15228.900391,15340.299805,15340.299805,20800
2019-10-07,15368.150391,15472.349609,14865.099609,15321.900391,15321.900391,0
2019-10-14,15202.200195,15434.549805,15147.700195,15410.099609,15410.099609,0
2019-10-21,15410.099609,15410.099609,14566.549805,14898.849609,14898.849609,0
2019-10-28,14956.400391,15657.750000,14956.400391,15471.200195,15471.200195,0
2019-11-04,15474.000000,15803.349609,15355.700195,15383.299805,15383.299805,24300
2019-11-11,15343.250000,15471.150391,15192.299805,15310.650391,15310.650391,0
2019-11-18,15326.799805,15435.400391,14931.349609,14995.900391,14995.900391,0
2019-11-25,15002.200195,15212.650391,14867.450195,14998.049805,14998.049805,14700
2019-12-02,15056.849609,15390.049805,14808.400391,15289.599609,15289.599609,72900
2019-12-09,15309.700195,15322.549805,14890.599609,15200.549805,15200.549805,118500
2019-12-16,15263.750000,15890.950195,15223.099609,15844.549805,15844.549805,166100
2019-12-23,15811.400391,15936.000000,15657.500000,15780.700195,15780.700195,66400
2019-12-30,15801.500000,16004.450195,15634.500000,15936.599609,15936.599609,60800
2020-01-06,15934.599609,16067.650391,15799.799805,15959.900391,15959.900391,123700
2020-01-13,16135.500000,16447.349609,16075.750000,16356.599609,16356.599609,177000
2020-01-20,16389.599609,16501.199219,16133.599609,16472.750000,16472.750000,122600
2020-01-27,16456.199219,16577.949219,16098.450195,16144.150391,16144.150391,100700
2020-02-03,16282.000000,16621.349609,16034.299805,16470.150391,16470.150391,115800
2020-02-10,16481.500000,16828.199219,16306.250000,16642.750000,16642.750000,92100
2020-02-17,16707.650391,16882.449219,16526.400391,16649.400391,16649.400391,58000
2020-02-24,16642.750000,16749.250000,15156.799805,15212.950195,15212.950195,142900
